version,pattern,coverage_target,state,allow
2026-W20-main,DUUUUU,0.55,DDDDDD,1
2026-W20-main,DUUUUU,0.55,UUUUDD,1
2026-W20-main,DUUUUU,0.55,UUDUUU,1
2026-W20-main,DUUUUU,0.55,UDDDDD,1
2026-W20-main,DUUUUU,0.55,UUDDUU,1
2026-W20-main,DUUUUU,0.55,DDDDDU,1
2026-W20-main,DUUUUU,0.55,DUUUDU,1
2026-W20-main,DUUUUU,0.55,UUDDDD,1
2026-W20-main,DUUUUU,0.55,UUUDDD,1
2026-W20-main,DUUUUU,0.55,DDUDDU,1
2026-W20-main,DUUUUU,0.55,UDUDUU,1
2026-W20-main,DUUUUU,0.55,UDUUDD,1
2026-W20-main,DUUUUU,0.55,DUDDUD,1
2026-W20-main,DUUUUU,0.55,DUDDDD,1
2026-W20-main,DUUUUU,0.55,DDDUDU,1
2026-W20-main,DUUUUU,0.55,UUDUUD,1
2026-W20-main,DUUUUU,0.55,DDUDUD,1
2026-W20-main,DUUUUU,0.55,DDUUDU,1
2026-W20-main,DUUUUU,0.55,DUUDUD,1
2026-W20-main,DUUUUU,0.55,DDUUDD,1
2026-W20-main,DUUUUU,0.55,DDUUUD,1
2026-W20-main,DUUUUU,0.55,UDUUDU,1
2026-W20-main,DUUUUU,0.55,DDUDDD,1
2026-W20-main,DUUUUU,0.55,DDDDUD,1
2026-W20-main,DUUUUU,0.55,DDDUUU,1
2026-W20-main,DUUUUU,0.55,DUUUDD,1
2026-W20-main,DUUUUU,0.55,DDDDUU,1
2026-W20-main,DUUUUU,0.55,UDDUDU,1
2026-W20-main,DUUUUU,0.55,UUUUUD,1
2026-W20-main,DUUUUU,0.55,DUUUUD,1
2026-W20-main,DUUUUU,0.55,DUDUDD,1
2026-W20-main,DUUUUU,0.55,UDUUUD,1
2026-W20-main,DUUUUU,0.55,DUUDUU,1
2026-W20-main,DUUUUU,0.55,UDDUUD,1
2026-W20-main,DUUUUU,0.55,DUUDDD,1
2026-W20-main,DUUUUU,0.55,UDDUDD,1
